Date,StockValue
2015-01-02,27.05
2015-01-09,26.36
2015-01-16,24.96
2015-01-23,25.64
2015-01-30,27.06
2015-02-06,26.71
2015-02-13,26.55
2015-02-20,27.47
2015-02-27,26.95
2015-03-06,28.34
2015-03-13,28.57
2015-03-20,27.8
2015-03-27,28.3
2015-04-02,28.01
2015-04-10,26.92
2015-04-17,27.4
2015-04-24,26.69
2015-05-01,28.62
2015-05-08,27.55
2015-05-15,27.43
2015-05-22,27.21
2015-05-29,27.61
2015-06-05,27.45
2015-06-12,27.48
2015-06-19,27.14
2015-06-26,27.97
2015-07-02,27.34
2015-07-10,27.11
2015-07-17,27.98
2015-07-24,34.45
2015-07-31,32.58
2015-08-07,32.88
2015-08-14,33.35
2015-08-21,34.4
2015-08-28,30.03
2015-09-04,32.72
2015-09-11,32.05
2015-09-18,32.78
2015-09-25,33.28
2015-10-02,31.95
2015-10-09,33.08
2015-10-16,33.46
2015-10-23,34.7
2015-10-30,36.0
2015-11-06,36.89
2015-11-13,37.93
2015-11-20,37.01
2015-11-27,38.87
2015-12-04,38.59
2015-12-11,39.0
2015-12-18,37.56
2015-12-24,38.15
2015-12-31,38.5
2016-01-08,38.11
2016-01-15,36.6
2016-01-22,36.01
2016-01-29,37.19
2016-02-05,38.56
2016-02-12,34.38
2016-02-19,35.93
2016-02-26,36.48
2016-03-04,36.05
2016-03-11,36.26
2016-03-18,37.25
2016-03-24,37.7
2016-04-01,37.81
2016-04-08,38.48
2016-04-15,38.27
2016-04-22,39.01
2016-04-29,36.77
2016-05-06,35.6
2016-05-13,36.34
2016-05-20,36.22
2016-05-27,36.0
2016-06-03,37.44
2016-06-10,36.92
2016-06-17,36.49
2016-06-24,35.52
2016-07-01,34.12
2016-07-08,35.25
2016-07-15,35.97
2016-07-22,36.9
2016-07-29,37.88
2016-08-05,39.33
2016-08-12,40.3
2016-08-19,40.36
2016-08-26,39.93
2016-09-02,39.65
2016-09-09,39.92
2016-09-16,39.23
2016-09-23,40.06
2016-09-30,40.49
2016-10-07,40.13
2016-10-14,40.2
2016-10-21,40.3
2016-10-28,41.5
2016-11-04,41.12
2016-11-11,39.75
2016-11-18,38.59
2016-11-25,38.91
2016-12-02,38.92
2016-12-09,38.5
2016-12-16,40.24
2016-12-23,40.46
2016-12-30,40.43
2017-01-06,40.03
2017-01-13,41.32
2017-01-20,41.5
2017-01-27,41.58
2017-02-03,41.85
2017-02-10,41.05
2017-02-17,41.89
2017-02-24,42.4
2017-03-03,42.25
2017-03-10,42.34
2017-03-17,43.28
2017-03-24,43.47
2017-03-31,41.4
2017-04-07,42.44
2017-04-13,42.08
2017-04-21,42.07
2017-04-28,43.42
2017-05-05,46.21
2017-05-12,47.37
2017-05-19,47.76
2017-05-26,47.85
2017-06-02,49.63
2017-06-09,49.89
2017-06-16,47.94
2017-06-23,48.48
2017-06-30,49.5
2017-07-07,46.66
2017-07-14,47.1
2017-07-21,48.82
2017-07-28,49.71
2017-08-04,48.0
2017-08-11,47.38
2017-08-18,46.95
2017-08-25,46.29
2017-09-01,46.59
2017-09-08,47.34
2017-09-15,47.36
2017-09-22,46.75
2017-09-29,46.97
2017-10-06,48.78
2017-10-13,49.75
2017-10-20,50.48
2017-10-27,50.26
2017-11-03,51.46
2017-11-10,52.46
2017-11-17,52.04
2017-11-24,51.8
2017-12-01,52.93
2017-12-08,51.39
2017-12-15,52.56
2017-12-22,53.82
2017-12-29,53.43
2018-01-05,52.65
2018-01-12,55.55
2018-01-19,57.02
2018-01-26,57.19
2018-02-02,59.4
2018-02-09,55.03
2018-02-16,52.83
2018-02-23,54.64
2018-03-02,56.59
2018-03-09,53.91
2018-03-16,58.25
2018-03-23,55.89
2018-03-29,52.53
2018-04-06,51.38
2018-04-13,51.0
2018-04-20,52.28
2018-04-27,54.15
2018-05-04,51.72
2018-05-11,52.69
2018-05-18,55.28
2018-05-25,53.95
2018-06-01,53.8
2018-06-08,56.93
2018-06-15,56.65
2018-06-22,57.63
2018-06-29,57.75
2018-07-06,55.77
2018-07-13,58.0
2018-07-20,60.19
2018-07-27,59.78
2018-08-03,62.25
2018-08-10,62.08
2018-08-17,62.56
2018-08-24,61.03
2018-08-31,62.21
2018-09-07,61.13
2018-09-14,59.21
2018-09-21,58.89
2018-09-28,57.97
2018-10-05,60.65
2018-10-12,58.0
2018-10-19,55.9
2018-10-26,55.63
2018-11-02,54.83
2018-11-09,53.63
2018-11-16,53.66
2018-11-23,53.17
2018-11-30,52.2
2018-12-07,56.61
2018-12-14,52.15
2018-12-21,52.35
2018-12-28,49.22
2019-01-04,52.89
2019-01-11,54.05
2019-01-18,52.67
2019-01-25,54.8
2019-02-01,54.5
2019-02-08,55.95
2019-02-15,55.19
2019-02-22,55.83
2019-03-01,56.1
2019-03-08,57.73
2019-03-15,57.6
2019-03-22,59.48
2019-03-29,59.98
2019-04-05,59.38
2019-04-12,60.56
2019-04-18,61.2
2019-04-26,61.83
2019-05-03,64.03
2019-05-10,58.6
2019-05-17,57.26
2019-05-24,57.65
2019-05-31,57.07
2019-06-07,53.35
2019-06-14,53.85
2019-06-21,54.46
2019-06-28,56.0
2019-07-05,55.05
2019-07-12,56.29
2019-07-19,57.27
2019-07-26,56.77
2019-08-02,62.13
2019-08-09,58.65
2019-08-16,59.0
2019-08-23,59.59
2019-08-30,57.97
2019-09-06,59.09
2019-09-13,60.35
2019-09-20,61.52
2019-09-27,61.33
2019-10-04,61.03
2019-10-11,60.35
2019-10-18,60.69
2019-10-25,62.44
2019-11-01,63.75
2019-11-08,63.81
2019-11-15,65.2
2019-11-22,66.62
2019-11-29,64.81
2019-12-06,65.13
2019-12-13,66.94
2019-12-20,67.75
2019-12-27,67.94
2020-01-03,67.84
2020-01-10,67.58
2020-01-17,71.76
2020-01-24,73.95
2020-01-31,71.58
2020-02-07,73.08
2020-02-14,73.86
2020-02-21,75.72
2020-02-28,71.15
2020-03-06,67.57
2020-03-13,60.25
2020-03-20,54.48
2020-03-27,52.82
2020-04-03,56.63
2020-04-09,56.65
2020-04-17,60.08
2020-04-24,63.49
2020-05-01,64.6
2020-05-08,65.41
2020-05-15,68.84
2020-05-22,68.08
2020-05-29,72.1
2020-06-05,71.29
2020-06-12,71.31
2020-06-19,69.47
2020-06-26,71.25
2020-07-02,68.02
2020-07-10,74.41
2020-07-17,77.5
2020-07-24,75.75
2020-07-31,75.66
2020-08-07,74.55
2020-08-14,74.54
2020-08-21,75.8
2020-08-28,79.62
2020-09-04,82.18
2020-09-11,76.25
2020-09-18,76.58
